FID,UnitName,PointName,Latitude,Longitude,SegmentL,SDate,Visit,SpeciesCod,SAgeID,PassCount1,PassCount2,PassCount3,Depth1,Depth2,Depth3,WaterPrese,SiltClay,Sand,Gravel,Pebble,Cobble,Boulder,Bedrock,Artificial,Detritus,LengthPool,LengthRun,LengthRiff,Width1,Width2,Width3,FishPresen,CrayfishPr,pH,Conductivi,WaterTemp,StartAirTe,StartWater,DDMLatLon,ORIG_OID,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y
653,C & O Canal National Historic Park,COST31-1,38.986999900000001,-77.228611099999995,15m,6/29/2015 0:00:00,1,DFUS,adult,5,1,3,16,19,35,Y,NULL,1,64,2,NULL,NULL,NULL,NULL,33,0,0,15,700,100,90,N,N,7.4,165,NULL,22.9,13.5,38 59.21952623N 077 13.71652440W,653,105405,0.004859848115410,-77.231134721399997,38.982840291899997
654,C & O Canal National Historic Park,COST31-1,38.986999900000001,-77.228611099999995,15m,6/29/2015 0:00:00,1,DFUS,juvenile,0,4,3,16,19,35,Y,NULL,1,64,2,NULL,NULL,NULL,NULL,33,0,0,15,700,100,90,N,N,7.4,165,NULL,22.9,13.5,38 59.21952623N 077 13.71652440W,654,105405,0.004859848115410,-77.231134721399997,38.982840291899997
655,C & O Canal National Historic Park,COST31-1,38.986999900000001,-77.228611099999995,15m,6/20/2016 0:00:00,1,DFUS,juvenile,3,5,2,0.1,10,30,Y,NULL,7,NULL,62,NULL,NULL,NULL,NULL,31,0,12,3,190,60,60,N,Y,6,196,NULL,20.9,14.6,38 59.21952623N 077 13.71652440W,655,105405,0.004859848115410,-77.231134721399997,38.982840291899997
656,C & O Canal National Historic Park,COST31-1,38.986999900000001,-77.228611099999995,15m,6/20/2016 0:00:00,1,EBIS,larva,0,1,1,0.1,10,30,Y,NULL,7,NULL,62,NULL,NULL,NULL,NULL,31,0,12,3,190,60,60,N,Y,6,196,NULL,20.9,14.6,38 59.21952623N 077 13.71652440W,656,105405,0.004859848115410,-77.231134721399997,38.982840291899997
657,C & O Canal National Historic Park,COST31-1,38.986999900000001,-77.228611099999995,15m,6/20/2016 0:00:00,1,DFUS,adult,3,2,2,0.1,10,30,Y,NULL,7,NULL,62,NULL,NULL,NULL,NULL,31,0,12,3,190,60,60,N,Y,6,196,NULL,20.9,14.6,38 59.21952623N 077 13.71652440W,657,105405,0.004859848115410,-77.231134721399997,38.982840291899997
658,C & O Canal National Historic Park,COST31-1,38.986999900000001,-77.228611099999995,15m,7/22/2016 0:00:00,2,DFUS,juvenile,7,7,2,0.5,2.5,1,Y,NULL,NULL,NULL,59,3,NULL,NULL,NULL,38,0,2,13,71,82,48,N,Y,7.2,179,NULL,23.7,16.4,38 59.21952623N 077 13.71652440W,658,105405,0.004859848115410,-77.231134721399997,38.982840291899997
659,C & O Canal National Historic Park,COST31-1,38.986999900000001,-77.228611099999995,15m,7/22/2016 0:00:00,2,DFUS,adult,4,2,0,0.5,2.5,1,Y,NULL,NULL,NULL,59,3,NULL,NULL,NULL,38,0,2,13,71,82,48,N,Y,7.2,179,NULL,23.7,16.4,38 59.21952623N 077 13.71652440W,659,105405,0.004859848115410,-77.231134721399997,38.982840291899997
660,C & O Canal National Historic Park,COST31-1,38.986999900000001,-77.228611099999995,15m,7/26/2017 0:00:00,1,DFUS,adult,1,1,1,0,1.6,1.2,Y,NULL,2,45,7,NULL,NULL,NULL,NULL,42,0,4,10,0,76,25,N,Y,7.6,361,NULL,22,16.7,38 59.21952623N 077 13.71652440W,660,105405,0.004859848115410,-77.231134721399997,38.982840291899997
661,C & O Canal National Historic Park,COST31-1,38.986999900000001,-77.228611099999995,15m,7/26/2017 0:00:00,1,EBIS,adult,0,1,0,0,1.6,1.2,Y,NULL,2,45,7,NULL,NULL,NULL,NULL,42,0,4,10,0,76,25,N,Y,7.6,361,NULL,22,16.7,38 59.21952623N 077 13.71652440W,661,105405,0.004859848115410,-77.231134721399997,38.982840291899997
662,C & O Canal National Historic Park,COST31-1,38.986999900000001,-77.228611099999995,15m,7/26/2017 0:00:00,1,DFUS,juvenile,0,1,1,0,1.6,1.2,Y,NULL,2,45,7,NULL,NULL,NULL,NULL,42,0,4,10,0,76,25,N,Y,7.6,361,NULL,22,16.7,38 59.21952623N 077 13.71652440W,662,105405,0.004859848115410,-77.231134721399997,38.982840291899997
663,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/30/2005 0:00:00,1,DFUS,juvenile,0,1,0,2.5,3,1,Y,NULL,27,15,NULL,36,NULL,NULL,NULL,24,3,7,5,40,40,46,N,N,6.57,13,NULL,24.2,14.9,38 59.21953120N 076 46.28320095W,663,103380,0.005533559916600,-76.774000918200002,38.991869281800000
664,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,7/26/2005 0:00:00,2,DFUS,adult,1,NULL,NULL,2.5,2.5,NULL,Y,29,36,3,NULL,7,NULL,NULL,NULL,25,1,5,9,29,29,NULL,N,Y,5.81,108,NULL,27.6,16.3,38 59.21953120N 076 46.28320095W,664,103380,0.005533559916600,-76.774000918200002,38.991869281800000
665,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/13/2006 0:00:00,5,PRUB,larva,0,1,0,2,4,31,Y,NULL,13,NULL,NULL,20,NULL,NULL,NULL,67,2,0,13,78,59,125,N,N,6.36,130,NULL,17.4,15.7,38 59.21953120N 076 46.28320095W,665,103380,0.005533559916600,-76.774000918200002,38.991869281800000
666,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,7/14/2006 0:00:00,6,PRUB,larva,0,2,1,1.7,2.8,2.5,Y,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,1,1,13,110,94,56,N,Y,5.98,123,NULL,24.5,13.5,38 59.21953120N 076 46.28320095W,666,103380,0.005533559916600,-76.774000918200002,38.991869281800000
667,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,7/14/2006 0:00:00,6,DFUS,adult,1,0,0,1.7,2.8,2.5,Y,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,1,1,13,110,94,56,N,Y,5.98,123,NULL,24.5,13.5,38 59.21953120N 076 46.28320095W,667,103380,0.005533559916600,-76.774000918200002,38.991869281800000
668,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/1/2007 0:00:00,7,DFUS,adult,1,0,0,3.4,3.6,1.7,Y,NULL,19,5,NULL,NULL,NULL,NULL,NULL,76,0,0,15,80,76,92,N,N,7,252,NULL,29.7,12.7,38 59.21953120N 076 46.28320095W,668,103380,0.005533559916600,-76.774000918200002,38.991869281800000
669,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/1/2007 0:00:00,7,PRUB,larva,0,1,0,3.4,3.6,1.7,Y,NULL,19,5,NULL,NULL,NULL,NULL,NULL,76,0,0,15,80,76,92,N,N,7,252,NULL,29.7,12.7,38 59.21953120N 076 46.28320095W,669,103380,0.005533559916600,-76.774000918200002,38.991869281800000
670,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,7/10/2007 0:00:00,8,PRUB,larva,1,2,1,2,2,3.5,Y,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,97,1,8,6,115,70,95,N,Y,5.7,246,NULL,26.1,13.4,38 59.21953120N 076 46.28320095W,670,103380,0.005533559916600,-76.774000918200002,38.991869281800000
671,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,5/30/2008 0:00:00,1,EBIS,adult,1,0,NULL,3,2,2,Y,8,1,NULL,NULL,5,NULL,NULL,NULL,31,0,3,12,63,26,36,N,N,6.17,143,NULL,23.7,15.3,38 59.21953120N 076 46.28320095W,671,103380,0.005533559916600,-76.774000918200002,38.991869281800000
672,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/30/2008 0:00:00,2,DFUS,adult,1,0,NULL,4,2,1,Y,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,2,12,1,48,45,38,N,N,5.65,183,NULL,24.5,13.5,38 59.21953120N 076 46.28320095W,672,103380,0.005533559916600,-76.774000918200002,38.991869281800000
673,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/3/2009 0:00:00,1,NULL,NULL,NULL,NULL,NULL,5.5,3,8,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72,1,8,6,75,94,60,N,N,7.12,133,NULL,22.9,14.2,38 59.21953120N 076 46.28320095W,673,103380,0.005533559916600,-76.774000918200002,38.991869281800000
674,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,7/3/2009 0:00:00,2,EBIS,larva,1,0,NULL,12,3,10,Y,67,NULL,28,5,NULL,NULL,NULL,NULL,NULL,3,2,10,85,14,42,N,N,5.83,151,NULL,20.7,14.1,38 59.21953120N 076 46.28320095W,674,103380,0.005533559916600,-76.774000918200002,38.991869281800000
675,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/3/2010 0:00:00,1,EBIS,larva,0,1,NULL,3.3,2.8,2.5,Y,56,13,3,4,3,NULL,NULL,NULL,21,1,1,13,65,70,52,N,Y,NULL,-99,NULL,21.5,16.5,38 59.21953120N 076 46.28320095W,675,103380,0.005533559916600,-76.774000918200002,38.991869281800000
676,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,7/7/2010 0:00:00,2,EBIS,larva,0,1,NULL,3.5,2,3.5,Y,49,NULL,25,3,NULL,NULL,NULL,NULL,23,NULL,NULL,15,56,42,44,N,N,NULL,-99,NULL,29.2,15.9,38 59.21953120N 076 46.28320095W,676,103380,0.005533559916600,-76.774000918200002,38.991869281800000
677,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/22/2011 0:00:00,1,DFUS,adult,1,0,0,2,2.5,1,Y,69,NULL,NULL,3,3,NULL,NULL,NULL,25,0,15,0,55,66,48,N,Y,7.2,180,NULL,28.1,14.8,38 59.21953120N 076 46.28320095W,677,103380,0.005533559916600,-76.774000918200002,38.991869281800000
678,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,7/25/2011 0:00:00,2,EBIS,larva,1,0,0,3.5,2,8,Y,8,NULL,62,3,2,NULL,NULL,NULL,25,0,10,5,151,46,53,N,N,NULL,NULL,NULL,27.6,NULL,38 59.21953120N 076 46.28320095W,678,103380,0.005533559916600,-76.774000918200002,38.991869281800000
679,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/20/2012 0:00:00,1,EBIS,juvenile,1,0,0,2,1.5,2,Y,23,58,9,1,NULL,NULL,NULL,NULL,9,0,15,0,205,129,155,N,N,7,187,NULL,29.1,20.4,38 59.21953120N 076 46.28320095W,679,103380,0.005533559916600,-76.774000918200002,38.991869281800000
680,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,7/26/2012 0:00:00,2,NULL,NULL,NULL,NULL,NULL,2.5,2,3,Y,4,40,17,26,NULL,NULL,NULL,NULL,13,0,15,0,115,35,57,N,Y,7.4,198,NULL,22.7,19.2,38 59.21953120N 076 46.28320095W,680,103380,0.005533559916600,-76.774000918200002,38.991869281800000
681,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/27/2013 0:00:00,1,DFUS,adult,4,1,0,2,2.2,5,Y,10,26,NULL,NULL,10,NULL,NULL,NULL,54,0,1,14,79,58,68,N,N,6.5,158,NULL,24.3,16,38 59.21953120N 076 46.28320095W,681,103380,0.005533559916600,-76.774000918200002,38.991869281800000
682,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/27/2013 0:00:00,1,DFUS,juvenile,2,3,0,2,2.2,5,Y,10,26,NULL,NULL,10,NULL,NULL,NULL,54,0,1,14,79,58,68,N,N,6.5,158,NULL,24.3,16,38 59.21953120N 076 46.28320095W,682,103380,0.005533559916600,-76.774000918200002,38.991869281800000
683,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/27/2013 0:00:00,1,EBIS,adult,2,1,0,2,2.2,5,Y,10,26,NULL,NULL,10,NULL,NULL,NULL,54,0,1,14,79,58,68,N,N,6.5,158,NULL,24.3,16,38 59.21953120N 076 46.28320095W,683,103380,0.005533559916600,-76.774000918200002,38.991869281800000
684,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/27/2013 0:00:00,1,EBIS,larva,8,2,0,2,2.2,5,Y,10,26,NULL,NULL,10,NULL,NULL,NULL,54,0,1,14,79,58,68,N,N,6.5,158,NULL,24.3,16,38 59.21953120N 076 46.28320095W,684,103380,0.005533559916600,-76.774000918200002,38.991869281800000
685,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,8/2/2013 0:00:00,2,EBIS,larva,5,3,0,1,3.5,3,Y,29,NULL,2,NULL,NULL,NULL,NULL,NULL,69,0,3,12,49,51,84,N,N,6.2,172,NULL,20.2,13.6,38 59.21953120N 076 46.28320095W,685,103380,0.005533559916600,-76.774000918200002,38.991869281800000
686,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,8/2/2013 0:00:00,2,EBIS,adult,1,0,0,1,3.5,3,Y,29,NULL,2,NULL,NULL,NULL,NULL,NULL,69,0,3,12,49,51,84,N,N,6.2,172,NULL,20.2,13.6,38 59.21953120N 076 46.28320095W,686,103380,0.005533559916600,-76.774000918200002,38.991869281800000
687,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,8/2/2013 0:00:00,2,DFUS,juvenile,1,1,0,1,3.5,3,Y,29,NULL,2,NULL,NULL,NULL,NULL,NULL,69,0,3,12,49,51,84,N,N,6.2,172,NULL,20.2,13.6,38 59.21953120N 076 46.28320095W,687,103380,0.005533559916600,-76.774000918200002,38.991869281800000
688,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/18/2014 0:00:00,1,DFUS,juvenile,1,0,0,3.7,6.8,7.3,Y,41,30,21,NULL,NULL,NULL,NULL,NULL,7,1,1,13,58,59,92,N,N,6.1,160,NULL,24.8,15,38 59.21953120N 076 46.28320095W,688,103380,0.005533559916600,-76.774000918200002,38.991869281800000
689,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/18/2014 0:00:00,1,DFUS,adult,0,1,0,3.7,6.8,7.3,Y,41,30,21,NULL,NULL,NULL,NULL,NULL,7,1,1,13,58,59,92,N,N,6.1,160,NULL,24.8,15,38 59.21953120N 076 46.28320095W,689,103380,0.005533559916600,-76.774000918200002,38.991869281800000
690,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,8/1/2014 0:00:00,2,DFUS,juvenile,0,1,0,0.9,3,1.9,Y,NULL,5,NULL,8,NULL,NULL,NULL,NULL,33,1,1,13,15,25,41,N,Y,7.3,156,NULL,21.4,15.2,38 59.21953120N 076 46.28320095W,690,103380,0.005533559916600,-76.774000918200002,38.991869281800000
691,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/29/2015 0:00:00,1,EBIS,larva,0,1,1,4.3,2.5,6.2,Y,2,50,34,1,NULL,NULL,NULL,NULL,3,0,1,14,100,45,80,N,N,7.4,165,NULL,22.9,13.5,38 59.21953120N 076 46.28320095W,691,103380,0.005533559916600,-76.774000918200002,38.991869281800000
692,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/29/2015 0:00:00,1,DFUS,juvenile,1,1,0,4.3,2.5,6.2,Y,2,50,34,1,NULL,NULL,NULL,NULL,3,0,1,14,100,45,80,N,N,7.4,165,NULL,22.9,13.5,38 59.21953120N 076 46.28320095W,692,103380,0.005533559916600,-76.774000918200002,38.991869281800000
693,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/29/2015 0:00:00,1,DFUS,adult,2,0,0,4.3,2.5,6.2,Y,2,50,34,1,NULL,NULL,NULL,NULL,3,0,1,14,100,45,80,N,N,7.4,165,NULL,22.9,13.5,38 59.21953120N 076 46.28320095W,693,103380,0.005533559916600,-76.774000918200002,38.991869281800000
694,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/20/2016 0:00:00,1,DFUS,adult,1,1,0,1,3.2,5,Y,13,21,6,14,NULL,NULL,NULL,NULL,37,0,15,0,65,40,65,N,Y,6,196,NULL,20.9,14.6,38 59.21953120N 076 46.28320095W,694,103380,0.005533559916600,-76.774000918200002,38.991869281800000
695,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/20/2016 0:00:00,1,EBIS,adult,1,0,0,1,3.2,5,Y,13,21,6,14,NULL,NULL,NULL,NULL,37,0,15,0,65,40,65,N,Y,6,196,NULL,20.9,14.6,38 59.21953120N 076 46.28320095W,695,103380,0.005533559916600,-76.774000918200002,38.991869281800000
696,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/20/2016 0:00:00,1,EBIS,larva,0,2,1,1,3.2,5,Y,13,21,6,14,NULL,NULL,NULL,NULL,37,0,15,0,65,40,65,N,Y,6,196,NULL,20.9,14.6,38 59.21953120N 076 46.28320095W,696,103380,0.005533559916600,-76.774000918200002,38.991869281800000
697,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/20/2016 0:00:00,1,PCIN,juvenile,0,1,0,1,3.2,5,Y,13,21,6,14,NULL,NULL,NULL,NULL,37,0,15,0,65,40,65,N,Y,6,196,NULL,20.9,14.6,38 59.21953120N 076 46.28320095W,697,103380,0.005533559916600,-76.774000918200002,38.991869281800000
698,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,6/20/2016 0:00:00,1,DFUS,juvenile,4,0,0,1,3.2,5,Y,13,21,6,14,NULL,NULL,NULL,NULL,37,0,15,0,65,40,65,N,Y,6,196,NULL,20.9,14.6,38 59.21953120N 076 46.28320095W,698,103380,0.005533559916600,-76.774000918200002,38.991869281800000
699,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,7/22/2016 0:00:00,2,EBIS,adult,1,0,0,2,4.5,3.5,Y,58,NULL,7,1,2,NULL,NULL,NULL,32,0,14,1,33,38,66,N,N,7.2,179,NULL,23.7,16.4,38 59.21953120N 076 46.28320095W,699,103380,0.005533559916600,-76.774000918200002,38.991869281800000
700,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,7/22/2016 0:00:00,2,DFUS,adult,0,2,0,2,4.5,3.5,Y,58,NULL,7,1,2,NULL,NULL,NULL,32,0,14,1,33,38,66,N,N,7.2,179,NULL,23.7,16.4,38 59.21953120N 076 46.28320095W,700,103380,0.005533559916600,-76.774000918200002,38.991869281800000
701,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,7/22/2016 0:00:00,2,DFUS,juvenile,0,1,1,2,4.5,3.5,Y,58,NULL,7,1,2,NULL,NULL,NULL,32,0,14,1,33,38,66,N,N,7.2,179,NULL,23.7,16.4,38 59.21953120N 076 46.28320095W,701,103380,0.005533559916600,-76.774000918200002,38.991869281800000
702,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,7/26/2017 0:00:00,1,PRUB,larva,0,2,0,2.5,5.4,4.2,Y,63,10,NULL,1,1,NULL,NULL,NULL,20,0,1,14,92,60,85,N,Y,7.6,361,NULL,22,16.7,38 59.21953120N 076 46.28320095W,702,103380,0.005533559916600,-76.774000918200002,38.991869281800000
703,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,7/26/2017 0:00:00,1,DFUS,adult,1,1,3,2.5,5.4,4.2,Y,63,10,NULL,1,1,NULL,NULL,NULL,20,0,1,14,92,60,85,N,Y,7.6,361,NULL,22,16.7,38 59.21953120N 076 46.28320095W,703,103380,0.005533559916600,-76.774000918200002,38.991869281800000
704,C & O Canal National Historic Park,COST31-2,38.987000000000002,-76.771388900000005,15m,7/26/2017 0:00:00,1,DFUS,juvenile,0,0,1,2.5,5.4,4.2,Y,63,10,NULL,1,1,NULL,NULL,NULL,20,0,1,14,92,60,85,N,Y,7.6,361,NULL,22,16.7,38 59.21953120N 076 46.28320095W,704,103380,0.005533559916600,-76.774000918200002,38.991869281800000
705,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/13/2006 0:00:00,1,EBIS,adult,0,1,NULL,6,4,4,Y,NULL,60,27,NULL,NULL,NULL,NULL,NULL,13,0,14,1,95,70,42,N,Y,5.76,130,NULL,16.7,14.4,38 59.21953120N 076 46.28320095W,705,103380,0.005533559916600,-76.774000918200002,38.991869281800000
706,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/13/2006 0:00:00,1,EBIS,larva,0,1,NULL,6,4,4,Y,NULL,60,27,NULL,NULL,NULL,NULL,NULL,13,0,14,1,95,70,42,N,Y,5.76,130,NULL,16.7,14.4,38 59.21953120N 076 46.28320095W,706,103380,0.005533559916600,-76.774000918200002,38.991869281800000
707,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,7/14/2006 0:00:00,2,EBIS,larva,0,3,NULL,5,4.5,3.5,Y,49,10,40,NULL,NULL,NULL,NULL,NULL,NULL,1,7,7,67,51,56,N,Y,7.03,134,NULL,23.7,19.2,38 59.21953120N 076 46.28320095W,707,103380,0.005533559916600,-76.774000918200002,38.991869281800000
708,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,7/10/2007 0:00:00,3,DFUS,adult,0,1,NULL,0.3,4.5,6.5,Y,NULL,51,10,NULL,NULL,NULL,NULL,NULL,39,0,0,15,33,50,43,N,N,5.7,246,NULL,26.1,13.4,38 59.21953120N 076 46.28320095W,708,103380,0.005533559916600,-76.774000918200002,38.991869281800000
709,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,7/10/2007 0:00:00,3,EBIS,adult,0,1,NULL,0.3,4.5,6.5,Y,NULL,51,10,NULL,NULL,NULL,NULL,NULL,39,0,0,15,33,50,43,N,N,5.7,246,NULL,26.1,13.4,38 59.21953120N 076 46.28320095W,709,103380,0.005533559916600,-76.774000918200002,38.991869281800000
710,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,7/10/2007 0:00:00,3,EBIS,adult,1,0,NULL,0.3,4.5,6.5,Y,NULL,51,10,NULL,NULL,NULL,NULL,NULL,39,0,0,15,33,50,43,N,N,5.7,246,NULL,26.1,13.4,38 59.21953120N 076 46.28320095W,710,103380,0.005533559916600,-76.774000918200002,38.991869281800000
711,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,7/10/2007 0:00:00,3,EBIS,larva,1,0,NULL,0.3,4.5,6.5,Y,NULL,51,10,NULL,NULL,NULL,NULL,NULL,39,0,0,15,33,50,43,N,N,5.7,246,NULL,26.1,13.4,38 59.21953120N 076 46.28320095W,711,103380,0.005533559916600,-76.774000918200002,38.991869281800000
712,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/30/2008 0:00:00,2,EBIS,larva,1,0,NULL,4,4.5,8,Y,NULL,17,12,NULL,NULL,NULL,NULL,NULL,68,1,11,3,56,38,86,N,N,6.75,154,NULL,22.4,20.1,38 59.21953120N 076 46.28320095W,712,103380,0.005533559916600,-76.774000918200002,38.991869281800000
713,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/30/2008 0:00:00,2,PRUB,larva,0,1,NULL,4,4.5,8,Y,NULL,17,12,NULL,NULL,NULL,NULL,NULL,68,1,11,3,56,38,86,N,N,6.75,154,NULL,22.4,20.1,38 59.21953120N 076 46.28320095W,713,103380,0.005533559916600,-76.774000918200002,38.991869281800000
714,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/30/2008 0:00:00,2,DFUS,juvenile,1,0,NULL,4,4.5,8,Y,NULL,17,12,NULL,NULL,NULL,NULL,NULL,68,1,11,3,56,38,86,N,N,6.75,154,NULL,22.4,20.1,38 59.21953120N 076 46.28320095W,714,103380,0.005533559916600,-76.774000918200002,38.991869281800000
715,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/3/2009 0:00:00,1,NULL,NULL,NULL,NULL,NULL,4,7,12,NULL,NULL,40,48,NULL,NULL,NULL,NULL,NULL,12,3,5,7,70,66,100,N,Y,7.12,133,NULL,22.9,14.2,38 59.21953120N 076 46.28320095W,715,103380,0.005533559916600,-76.774000918200002,38.991869281800000
716,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,7/3/2009 0:00:00,2,DFUS,adult,1,0,NULL,3,5,4.5,Y,NULL,27,48,16,9,NULL,NULL,NULL,NULL,2,12,1,71,62,93,U,U,5.83,151,NULL,20.7,14.1,38 59.21953120N 076 46.28320095W,716,103380,0.005533559916600,-76.774000918200002,38.991869281800000
717,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,7/3/2009 0:00:00,2,DFUS,larva,0,0,NULL,3,5,4.5,Y,NULL,27,48,16,9,NULL,NULL,NULL,NULL,2,12,1,71,62,93,U,U,5.83,151,NULL,20.7,14.1,38 59.21953120N 076 46.28320095W,717,103380,0.005533559916600,-76.774000918200002,38.991869281800000
718,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,7/3/2009 0:00:00,2,DFUS,juvenile,0,1,NULL,3,5,4.5,Y,NULL,27,48,16,9,NULL,NULL,NULL,NULL,2,12,1,71,62,93,U,U,5.83,151,NULL,20.7,14.1,38 59.21953120N 076 46.28320095W,718,103380,0.005533559916600,-76.774000918200002,38.991869281800000
719,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/3/2010 0:00:00,1,DFUS,adult,1,2,NULL,5.5,8,5,Y,13,62,20,NULL,NULL,NULL,NULL,NULL,5,3,8,4,111,135,140,N,Y,6.48,-99,NULL,26.6,19.1,38 59.21953120N 076 46.28320095W,719,103380,0.005533559916600,-76.774000918200002,38.991869281800000
720,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,6/3/2010 0:00:00,1,EBIS,larva,1,1,NULL,5.5,8,5,Y,13,62,20,NULL,NULL,NULL,NULL,NULL,5,3,8,4,111,135,140,N,Y,6.48,-99,NULL,26.6,19.1,38 59.21953120N 076 46.28320095W,720,103380,0.005533559916600,-76.774000918200002,38.991869281800000
721,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,7/7/2010 0:00:00,2,DFUS,adult,2,0,NULL,3.7,5.9,14,Y,54,16,17,13,NULL,NULL,NULL,NULL,NULL,1,10,4,65,101,66,N,Y,NULL,-99,NULL,31.3,22.7,38 59.21953120N 076 46.28320095W,721,103380,0.005533559916600,-76.774000918200002,38.991869281800000
722,C & O Canal National Historic Park,COST31-3,38.987000000000002,-76.771388900000005,15m,7/7/2010 0:00:00,2,DFUS,juvenile,1,0,NULL,3.7,5.9,14,Y,54,16,17,13,NULL,NULL,NULL,NULL,NULL,1,10,4,65,101,66,N,Y,NULL,-99,NULL,31.3,22.7,38 59.21953120N 076 46.28320095W,722,103380,0.005533559916600,-76.774000918200002,38.991869281800000
