Site,Date,#,Location,Substrate,Pass,Species,Age,SV,TL,Notes
MRC2SU,6/14/12,19,6,W,1,EBIS,L,13,27,
MRC2SU,6/14/12,20,6,W,1,EBIS,L,15,26,
MRC2SU,6/14/12,21,7,W,3,GPOR,L,37,78,
MRC2SU,6/14/12,22,23,W,1,GPOR,A,85,140,
MRC2SU,6/14/12,23,14,W,3,GPOR,A,60,120,
MRC2SU,6/14/12,24,6,W,2,EBIS,L,22,45,
MRC2SU,6/14/12,25,6,W,3,EBIS,L,17,35,
MRC2SU,6/14/12,26,6,W,3,GPOR,L,52,94,
MRC2SU,6/14/12,27,6,W,1,EBIS,L,18,33,
MRC2SU,6/14/12,28,6,W,3,GPOR,L,47,103,
MRC2SU,6/14/12,29,5,W,1,EBIS,L,14,28,
MRC2SU,6/14/12,30,5,W,1,EBIS,L,22,34,
MRC2SU,6/14/12,31,5,W,1,EBIS,L,14,28,
MRC2SU,6/14/12,32,5,W,2,EBIS,L,15,31,
MRC2SU,6/14/12,33,6,W,2,GPOR,L,45,81,
MRC2SU,6/14/12,34,5,W,3,EBIS,L,15,30,
MRC2SU,6/14/12,35,6,W,3,EBIS,L,14,29,
MRC2SU,6/14/12,36,5,W,3,EBIS,L,15,29,
MRC2SU,6/14/12,37,4,W,2,EBIS,L,14,32,
MRC2SU,6/14/12,38,4,W,2,EBIS,L,13,30,
MRC2SU,6/14/12,39,5,W,3,EBIS,L,17,36,
MRC2SU,6/14/12,40,6,W,3,EBIS,L,16,30,
MRC2SU,6/14/12,41,6,W,3,EBIS,L,16,34,
MRC2SU,6/14/12,42,4,W,2,EBIS,L,18,36,
MRC2SU,6/14/12,43,4,W,2,EBIS,L,12,26,
MRC2SU,6/14/12,44,5,W,2,GPOR,L,53,98,
MRC2SU,6/14/12,45,6,W,1,EBIS,L,15,31,
MRC2SU,6/14/12,46,6,W,1,EBIS,L,14,28,
MRC2SU,6/14/12,47,6,W,1,EBIS,L,14,31,
MRC2SU,6/14/12,48,6,W,2,EBIS,L,16,28,
BMT1U1,6/18/12,1,2,W,1,EBIS,L,16,30,
BMT1U1,6/18/12,2,2,W,1,EBIS,L,18,34,
BMT1U1,6/18/12,3,3,W,1,EBIS,L,18,35,going through metamorphosis
BMT1U1,6/18/12,4,3,W,1,DFUS,J,13,24,
BMT1U1,6/18/12,5,2,W,1,DFUS,J,18,33,
BMT1U1,6/18/12,6,1,W,1,EBIS,J,15,29,
BMT1U1,6/18/12,7,3,W,1,EBIS,L,12,22,
BMT1U1,6/18/12,8,3,W,1,EBIS,L,13,26,
BMT1U1,6/18/12,9,1,W,1,EBIS,L,20,39,
BMT1U1,6/18/12,10,3,W,1,EBIS,L,22,44,
BMT1U1,6/18/12,11,3,W,1,EBIS,L,12,24,
BMT1U1,6/18/12,12,1,W,1,EBIS,L,21,41,
BMT1U1,6/18/12,13,2,W,1,EBIS,L,17,32,
BMT1U1,6/18/12,14,2,W,1,EBIS,L,13,26,
BMT1U1,6/18/12,15,1,W,1,DMON,J,24,48,
BMT1U1,6/18/12,16,1,W,1,DMON,J,22,47,
BMT1U1,6/18/12,17,1,W,1,EBIS,L,18,34,
BMT1U1,6/18/12,18,1,W,1,GPOR,L,52,84,
BMT1U1,6/18/12,19,2,W,1,DFUS,J,15,30,
BMT1U1,6/18/12,20,3,W,1,GPOR,L,58,105,
BMT1U1,6/18/12,21,2,W,1,EBIS,L,21,42,
BMT1U1,6/18/12,22,3,W,1,DFUS,J,16,29,
BMT1U1,6/18/12,23,3,W,1,EBIS,L,14,26,
BMT1U1,6/18/12,24,1,W,1,EBIS,L,16,30,
BMT1U1,6/18/12,25,2,W,1,DMON,J,18,36,
BMT1U1,6/18/12,26,3,W,1,EBIS,L,15,26,
BMT1U1,6/18/12,27,3,W,1,EBIS,L,18,34,
BMT1U1,6/18/12,28,2,W,1,EBIS,L,22,46,
BMT1U1,6/18/12,29,1,W,1,EBIS,L,15,28,
BMT1U1,6/18/12,30,2,W,1,EBIS,L,17,33,
BMT1U1,6/18/12,31,3,W,1,DMON,A,41,89,
BMT1U1,6/18/12,32,3,W,1,EBIS,L,17,32,
BMT1U1,6/18/12,33,2,W,1,EBIS,L,14,27,
BMT1U1,6/18/12,34,2,W,1,EBIS,L,16,30,
BMT1U1,6/18/12,35,2,W,1,EBIS,L,17,32,
BMT1U1,6/18/12,36,2,W,1,DFUS,A,58,105,
BMT1U1,6/18/12,37,2,W,2,EBIS,L,21,42,
BMT1U1,6/18/12,38,2,W,2,EBIS,L,12,24,
BMT1U1,6/18/12,39,1,W,2,EBIS,L,16,29,
BMT1U1,6/18/12,40,1,W,2,EBIS,L,17,34,
BMT1U1,6/18/12,41,3,W,2,DFUS,J,14,28,
BMT1U1,6/18/12,42,3,W,2,EBIS,L,13,26,
BMT1U1,6/18/12,43,2,W,2,EBIS,L,12,24,
BMT1U1,6/18/12,44,1,W,2,EBIS,L,17,34,
BMT1U1,6/18/12,45,2,W,2,EBIS,L,15,30,
BMT1U1,6/18/12,46,3,W,2,EBIS,L,18,36,
BMT1U1,6/18/12,47,3,W,2,EBIS,L,16,32,
BMT1U1,6/18/12,48,3,W,2,EBIS,L,21,40,
BMT1U1,6/18/12,49,3,W,2,EBIS,L,20,39,
BMT1U1,6/18/12,50,15,W,1,EBIS,L,14,27,
BMT1U1,6/18/12,51,11,W,1,DFUS,J,17,35,
BMT1U1,6/18/12,52,15,W,1,GPOR,L,44,83,
BMT1U1,6/18/12,53,12,W,2,EBIS,L,13,26,
BMT1U1,6/18/12,54,12,W,2,EBIS,L,19,38,
BMT1U1,6/18/12,55,11,W,2,EBIS,L,15,28,
BMT1U1,6/18/12,56,11,W,2,EBIS,L,16,30,
BMT1U1,6/18/12,57,12,W,2,EBIS,L,18,37,
BMT1U1,6/18/12,58,11,W,2,EBIS,L,23,45,
BMT1U1,6/18/12,59,11,W,2,EBIS,L,16,31,
BMT1U1,6/18/12,60,15,W,2,EBIS,L,13,23,
BMT1U1,6/18/12,61,14,W,2,DMON,J,15,32,
BMT1U1,6/18/12,62,15,W,2,EBIS,L,21,42,
BMT1U1,6/18/12,63,12,W,2,EBIS,L,17,31,
BMT1U1,6/18/12,64,14,W,2,EBIS,L,12,24,
BMT1U1,6/18/12,65,13,W,2,EBIS,L,22,43,
BMT1U1,6/18/12,66,13,W,2,EGUT,L,21,36,looked like 3-lined salamander
BMT1U1,6/18/12,67,12,W,2,EBIS,L,18,36,
BMT1U1,6/18/12,68,13,W,2,EBIS,L,17,34,
BMT1U1,6/18/12,69,12,W,2,EBIS,L,15,30,
BMT1U1,6/18/12,70,13,W,2,EBIS,L,18,34,
BMT1U1,6/18/12,71,11,W,2,GPOR,L,44,74,
BMT1U1,6/18/12,72,14,W,2,EBIS,L,11,21,
BMT1U1,6/18/12,73,15,W,2,EBIS,L,17,34,
BMT1U1,6/18/12,74,13,W,2,GPOR,L,40,66,
BMT1U1,6/18/12,75,1,W,3,EBIS,L,19,38,
BMT1U1,6/18/12,76,2,W,3,EBIS,L,15,30,
BMT1U1,6/18/12,77,2,W,3,EBIS,L,11,22,
BMT1U1,6/18/12,78,1,W,3,EBIS,L,12,23,
BMT1U1,6/18/12,79,2,W,3,EBIS,L,12,23,
BMT1U1,6/18/12,80,1,W,3,EBIS,L,20,40,
BMT1U1,6/18/12,81,2,W,3,EBIS,L,16,29,
BMT1U1,6/18/12,82,1,W,3,EBIS,L,14,26,
BMT1U1,6/18/12,83,1,W,3,EBIS,L,15,29,
BMT1U1,6/18/12,84,2,W,2,EBIS,L,19,38,
BMT1U1,6/18/12,85,3,W,2,EBIS,L,22,46,
BMT1U1,6/18/12,86,3,W,2,EBIS,L,22,45,
BMT1U1,6/18/12,89,3,W,2,EBIS,L,21,42,
BMT1U1,6/18/12,90,3,W,3,EBIS,L,15,29,
BMT1U1,6/18/12,91,3,W,3,EBIS,L,21,42,
BMT1U1,6/18/12,92,3,W,3,EBIS,L,20,40,
BMT1U1,6/18/12,93,3,W,3,EBIS,L,13,21,
BMT1U1,6/18/12,94,3,W,3,EBIS,L,17,33,
BMT1U1,6/18/12,95,3,W,3,EBIS,L,18,36,
BMT1U1,6/18/12,96,3,W,3,EBIS,L,20,43,
BMT1U1,6/18/12,97,3,W,3,EBIS,L,14,24,
BMT1U1,6/18/12,98,3,W,3,EBIS,L,14,25,
BMT1U1,6/18/12,99,3,W,3,EBIS,L,14,26,
BMT1U1,6/18/12,100,11,W,3,EBIS,L,14,27,
BMT1U1,6/18/12,101,12,W,3,EBIS,L,15,30,
BMT1U1,6/18/12,102,3,W,3,EBIS,L,13,25,
BMT1U1,6/18/12,103,3,W,3,EBIS,L,13,26,
BMT1U1,6/18/12,104,13,W,3,EBIS,L,18,36,
BMT1U1,6/18/12,105,12,W,3,EBIS,L,21,41,
BMT1U1,6/18/12,106,14,W,3,GPOR,L,49,96,
BMT1U1,6/18/12,107,14,W,3,GPOR,L,40,73,
BMT1U1,6/18/12,108,14,W,3,DFUS,A,56,101,
BMT1U1,6/18/12,109,12,W,2,EBIS,L,,,
WRH1U1,6/19/12,1,1,W,1,EBIS,L,16,31,
WRH1U1,6/19/12,2,1,W,1,EBIS,L,15,28,
WRH1U1,6/19/12,3,1,W,1,EBIS,L,10,19,
WRH1U1,6/19/12,4,0,W,1,EBIS,L,15,29,
WRH1U1,6/19/12,5,1,W,1,EBIS,L,17,34,
WRH1U1,6/19/12,6,1,W,1,EBIS,L,9,18,
WRH1U1,6/19/12,7,0,W,1,EBIS,L,16,30,
WRH1U1,6/19/12,8,0,W,1,EBIS,L,8,16,
WRH1U1,6/19/12,9,1,W,1,EBIS,L,9,16,
WRH1U1,6/19/12,10,10,W,1,DFUS,J,16,29,
WRH1U1,6/19/12,11,10,W,1,EBIS,L,15,28,
WRH1U1,6/19/12,12,10,W,1,GPOR,L,48,94,
WRH1U1,6/19/12,13,10,W,1,EBIS,L,16,30,
WRH1U1,6/19/12,14,10,W,1,EBIS,L,16,29,
WRH1U1,6/19/12,15,10,W,1,EBIS,L,11,18,
WRH1U1,6/19/12,16,10,W,1,GPOR,L,48,83,
WRH1U1,6/19/12,17,5,W,1,EBIS,L,17,34,
WRH1U1,6/19/12,18,6,W,1,DFUS,J,14,28,
WRH1U1,6/19/12,19,5,W,1,DFUS,J,17,33,
WRH1U1,6/19/12,20,4,W,1,DFUS,J,14,28,
WRH1U1,6/19/12,21,5,W,1,EBIS,L,16,30,
WRH1U1,6/19/12,22,5,W,1,EBIS,L,13,26,
WRH1U1,6/19/12,23,5,W,1,DFUS,J,17,33,
WRH1U1,6/19/12,24,6,W,1,EBIS,L,10,18,
WRH1U1,6/19/12,25,6,W,1,GPOR,L,52,88,
WRH1U1,6/19/12,26,7,W,1,DMON,J,24,48,
WRH1U1,6/19/12,27,10,W,1,GPOR,L,38,71,
WRH1U1,6/19/12,28,8,W,1,DFUS,J,17,34,
WRH1U1,6/19/12,29,9,W,1,DFUS,J,16,32,
WRH1U1,6/19/12,30,8,W,1,DFUS,J,14,27,
WRH1U1,6/19/12,31,7,W,1,DFUS,J,17,26,Stumpy tail regenerating
WRH1U1,6/19/12,32,11,W,1,DFUS,J,19,20,tail broke off
WRH1U1,6/19/12,33,13,W,1,DMON,A,46,100,
WRH1U1,6/19/12,34,13,W,1,DFUS,J,18,33,
WRH1U1,6/19/12,35,11,W,1,DFUS,J,16,30,
WRH1U1,6/19/12,36,11,W,1,DFUS,J,16,32,
WRH1U1,6/19/12,37,13,W,1,DMON,J,32,59,Adult?
WRH1U1,6/19/12,38,11,W,1,DFUS,J,17,34,
WRH1U1,6/19/12,39,14,W,1,DMON,A,62,119,
WRH1U1,6/19/12,40,11,W,1,EBIS,J,16,30,
WRH1U1,6/19/12,41,13,W,1,GPOR,L,54,95,
WRH1U1,6/19/12,42,12,W,1,DFUS,J,15,30,
WRH1U1,6/19/12,43,12,W,1,DFUS,J,16,31,
WRH1U1,6/19/12,44,3,W,2,DMON,A,62,97,
WRH1U1,6/19/12,45,1,W,2,DFUS,J,18,35,
WRH1U1,6/19/12,46,0,W,2,DFUS,J,22,44,
WRH1U1,6/19/12,47,10,W,3,EBIS,L,15,28,
WRH1U1,6/19/12,48,8,W,2,EBIS,L,21,42,
WRH1U1,6/19/12,49,8,W,2,DMON,J,17,34,
WRH1U1,6/19/12,50,5,W,2,DMON,A,42,78,
WRH1U1,6/19/12,51,5,B,2,DMON,J,27,57,Adult?
WRH1U1,6/19/12,52,8,W,2,DFUS,J,17,26,
WRH1U1,6/19/12,53,0,W,3,EBIS,L,9,16,
WRH1U1,6/19/12,54,9,W,2,EBIS,L,21,42,
WRH1U1,6/19/12,55,6,W,2,GPOR,L,62,111,
WRH1U1,6/19/12,56,5,W,2,GPOR,L,49,67,
WRH1U1,6/19/12,57,0,W,3,EBIS,L,17,34,
WRH1U1,6/19/12,58,0,W,2,GPOR,L,46,80,
WRH1U1,6/19/12,59,4,W,2,DFUS,J,16,32,
WRH1U1,6/19/12,60,0,W,2,EBIS,L,11,19,
WRH1U1,6/19/12,61,0,W,2,GPOR,L,55,94,
WRH1U1,6/19/12,62,5,W,3,EBIS,L,18,34,
WRH1U1,6/19/12,63,5,W,3,EBIS,L,11,19,
WRH1U1,6/19/12,64,19,W,2,EBIS,L,17,33,
WRH1U1,6/19/12,65,18,W,2,EBIS,L,15,29,
WRH1U1,6/19/12,66,5,W,3,DFUS,J,17,33,
WRH1U1,6/19/12,67,5,W,3,DFUS,J,15,28,
WRH1U1,6/19/12,68,10,W,2,EBIS,L,14,28,
WRH1U1,6/19/12,69,5,W,3,DFUS,J,16,34,
WRH1U1,6/19/12,70,5,W,3,DFUS,J,14,28,
WRH1U1,6/19/12,71,5,W,3,GPOR,L,63,111,
WRH1U1,6/19/12,72,19,W,2,EBIS,L,15,25,
WRH1U1,6/19/12,73,18,W,2,EBIS,L,19,37,
WRH1U1,6/19/12,74,13,W,2,DFUS,L,15,33,
WRH1U1,6/19/12,75,18,W,2,EBIS,L,17,33,
WRH1U1,6/19/12,76,18,W,2,GPOR,L,42,71,
WRH1U1,6/19/12,77,16,W,2,EBIS,L,14,25,
WRH1U1,6/19/12,78,19,W,2,EBIS,L,18,34,
WRH1U1,6/19/12,79,17,W,2,EBIS,L,16,29,
WRH1U1,6/19/12,80,19,W,2,EBIS,L,17,24,
WRH1U1,6/19/12,81,6,W,3,DFUS,J,33,67,
WRH1U1,6/19/12,82,6,W,3,DFUS,J,31,75,
WRH1U1,6/19/12,83,19,W,2,EBIS,L,16,28,
WRH1U1,6/19/12,84,20,W,2,DFUS,J,18,33,
WRH1U1,6/19/12,85,10,W,3,EBIS,L,20,37,
WRH1U1,6/19/12,86,19,W,2,EBIS,L,17,31,
WRH1U1,6/19/12,87,19,W,2,EBIS,L,17,33,
WRH1U1,6/19/12,88,20,W,2,EBIS,L,16,32,
WRH1U1,6/19/12,89,19,W,2,EBIS,L,16,30,
WRH1U1,6/19/12,90,17,W,2,EBIS,L,18,34,
WRH1U1,6/19/12,91,15,W,2,DFUS,L,16,31,
WRH1U1,6/19/12,92,17,W,2,EBIS,L,15,30,
WRH1U1,6/19/12,93,10,W,3,EBIS,L,19,34,
WRH1U1,6/19/12,94,10,W,3,EBIS,L,9,16,
WRH1U1,6/19/12,95,18,W,2,EBIS,L,16,32,
WRH1U1,6/19/12,96,18,W,2,EBIS,L,17,31,
WRH1U1,6/19/12,97,10,W,3,EBIS,L,17,33,
WRH1U1,6/19/12,98,20,W,2,EBIS,L,20,39,
WRH1U1,6/19/12,99,19,W,2,GPOR,L,51,90,
WRH1U1,6/19/12,100,20,W,2,EBIS,L,16,32,
WRH1U1,6/19/12,101,15,W,3,DFUS,J,23,42,
WRH1U1,6/19/12,102,19,W,2,DFUS,J,36,74,
WRH1U1,6/19/12,103,15,W,3,DFUS,J,17,32,
WRH1U1,6/19/12,104,14,W,3,DFUS,J,16,31,
WRH1U1,6/19/12,105,18,W,2,EBIS,L,18,37,
WRH1U1,6/19/12,106,17,W,2,EBIS,L,21,41,
WRH1U1,6/19/12,107,13,W,2,DFUS,J,16,27,
WRH1U1,6/19/12,108,17,W,2,GPOR,L,48,99,
WRH1U1,6/19/12,109,17,W,3,GPOR,L,56,95,
WRH1U1,6/19/12,110,20,W,2,EBIS,L,16,27,
WRH1U1,6/19/12,111,20,W,2,DFUS,J,14,29,
WRH1U1,6/19/12,112,14,W,2,DMON,J,21,44,
WRH1U1,6/19/12,113,19,W,2,EBIS,L,16,37,
WRH1U1,6/19/12,114,19,W,2,EBIS,L,19,29,
WRH1U1,6/19/12,115,12,W,3,DFUS,J,19,26,
WRH1U1,6/19/12,116,11,B,3,DFUS,A,59,126,
WRH1U1,6/19/12,117,12,W,3,DMON,A,75,98,Stumpy tail
RGH1U1,6/20/12,1,6,W,3,EBIS,L,16,32,
RGH1U1,6/20/12,2,7,W,3,DMON,J,19,32,
RGH1U1,6/20/12,3,8,W,3,DMON,J,16,32,
RGH1U1,6/20/12,4,8,W,4,DMON,J,18,37,
RGH1U1,6/20/12,5,7,W,3,DFUS,J,30,60,
RGH1U1,6/20/12,6,0,W,3,GPOR,L,29,51,
RGH1U1,6/20/12,7,0,W,4,DFUS,J,20,44,
RGH1U1,6/20/12,8,7,W,3,DMON,J,16,30,
RGH1U1,6/20/12,9,8,W,3,DFUS,J,17,36,
RGH1U1,6/20/12,10,1,W,4,DFUS,A,32,69,
RGH1U1,6/20/12,11,0,W,4,GPOR,L,58,97,
RGH1U1,6/20/12,12,7,W,3,EBIS,L,20,39,
RGH1U1,6/20/12,13,5,W,4,DFUS,J,20,39,
RGH1U1,6/20/12,14,7,W,3,DFUS,J,13,13,no tail
RGH1U1,6/20/12,15,7,W,3,DFUS,J,19,38,
RGH1U1,6/20/12,16,6,W,3,GPOR,L,23,48,
RGH1U1,6/20/12,18,6,W,3,GPOR,L,23,48,
RGH1U1,6/20/12,19,6,W,3,DMON,J,14,24,
RGH1U1,6/20/12,20,7,W,3,DFUS,J,16,35,
RGH1U1,6/20/12,21,12,W,3,EBIS,L,19,40,Lost on capture
RGH1U1,6/20/12,22,12,W,3,DFUS,J,19,40,
RGH1U1,6/20/12,23,14,W,4,DFUS,J,16,26,
RGH1U1,6/20/12,24,12,W,3,DFUS,J,20,39,
RGH1U1,6/20/12,25,12,W,3,DFUS,J,29,67,
RGH1U1,6/20/12,26,12,W,3,EBIS,L,18,32,tail tip gone
RGH1U1,6/20/12,27,16,W,4,DFUS,J,16,21,
RGH1U1,6/20/12,28,13,W,4,DFUS,J,15,36,
RGH1U1,6/20/12,29,13,W,4,DFUS,J,17,34,
RGH1U1,6/20/12,30,9,W,3,DFUS,J,16,24,
RGH1U1,6/20/12,31,9,W,3,EBIS,L,11,18,
RGH1U1,6/20/12,32,13,W,3,DFUS,A,30,63,
RGH1U1,6/20/12,33,10,W,4,EBIS,L,18,35,
RGH1U1,6/20/12,34,17,W,4,DFUS,J,15,31,
RGH1U1,6/20/12,35,13,W,4,DFUS,J,15,30,
RGH1U1,6/20/12,36,17,W,4,DFUS,J,17,29,
RGH1U1,6/20/12,37,16,W,4,EBIS,L,17,35,
RGH1U1,6/20/12,38,9,W,4,EBIS,L,10,16,
RGH1U1,6/20/12,39,17,W,4,EBIS,L,,,
RGH1U1,6/20/12,40,16,W,4,GPOR,L,45,71,
RGH1U1,6/20/12,41,18,W,4,EBIS,L,19,35,
RGH1U1,6/20/12,42,17,W,4,EBIS,L,23,45,
RGH1U1,6/20/12,43,13,W,4,GPOR,L,37,68,
RGH1U1,6/20/12,44,10,W,3,EBIS,L,17,30,
RGH1U1,6/20/12,45,13,W,3,EBIS,L,20,41,
RGH1U1,6/20/12,46,10,W,3,EBIS,L,19,36,
RGH1U1,6/20/12,47,10,W,4,DFUS,J,28,53,
RGH1U1,6/20/12,48,18,W,4,DFUS,J,16,30,
RGH1U1,6/20/12,49,19,W,3,DFUS,A,50,89,
RGH1U1,6/20/12,50,20,W,4,DFUS,J,18,32,
RGH1U1,6/20/12,51,27,W,2,EBIS,L,18,26,
RGH1U1,6/20/12,52,27,W,2,EBIS,L,21,41,
RGH1U1,6/20/12,53,27,W,2,EBIS,L,19,38,
RGH1U1,6/20/12,54,27,W,1,DFUS,J,19,37,Lost on capture
RGH1U1,6/20/12,55,24,W,3,DFUS,J,16,33,
RGH1U1,6/20/12,56,24,W,3,DFUS,J,16,32,
RGH1U1,6/20/12,57,20,W,4,EBIS,L,10,17,
RGH1U1,6/20/12,58,24,W,3,DFUS,J,19,35,
RGH1U1,6/20/12,59,27,W,1,EBIS,L,21,39,
RGH1U1,6/20/12,60,27,W,2,EBIS,L,19,35,
RGH1U1,6/20/12,61,27,W,2,EBIS,L,12,20,
RGH1U1,6/20/12,62,27,W,3,EBIS,L,15,30,
RGH1U1,6/20/12,63,27,W,3,EBIS,L,22,40,
RGH1U1,6/20/12,64,27,W,3,EBIS,J,24,46,
RGH1U1,6/20/12,65,27,W,3,DFUS,A,35,61,small right rear leg
RGH1U1,6/20/12,66,27,W,3,EBIS,L,18,35,
RGH1U1,6/20/12,67,27,W,3,EBIS,L,20,34,
RGH1U1,6/20/12,68,27,W,1,EBIS,L,19,37,
RGH1U1,6/20/12,69,27,W,4,EBIS,L,20,40,
RGH1U1,6/20/12,70,27,W,3,EBIS,L,15,28,
RGH1U1,6/20/12,71,27,W,1,EBIS,L,21,42,
RGH1U1,6/20/12,72,27,W,2,EBIS,L,18,35,
RGH1U1,6/20/12,73,27,W,3,EBIS,L,20,41,
RGH1U1,6/20/12,74,27,W,3,EBIS,L,10,17,
RGH1U1,6/20/12,75,27,W,3,EBIS,L,19,37,
RGH1U1,6/20/12,76,27,W,2,EBIS,L,10,19,
RGH1U1,6/20/12,77,27,W,3,EBIS,L,14,28,
RGH1U1,6/20/12,78,24,W,1,DFUS,J,16,32,
RGH1U1,6/20/12,79,27,W,3,DFUS,J,18,37,
RGH1U1,6/20/12,80,24,W,3,DFUS,J,34,67,
RGH1U1,6/20/12,81,24,W,3,DFUS,J,16,33,
RGH1U1,6/20/12,82,25,W,3,DFUS,J,17,31,tail tip gone
RGH1U1,6/20/12,83,27,W,1,EBIS,L,17,34,
RGH1U1,6/20/12,84,27,W,1,EBIS,L,15,27,
RGH1U1,6/20/12,85,27,W,3,EBIS,L,18,31,
RGH1U1,6/20/12,86,25,W,3,DFUS,J,19,36,
RGH1U1,6/20/12,87,25,W,3,DMON,J,16,36,
RGH1U1,6/20/12,88,27,W,3,EBIS,L,16,26,
RGH1U1,6/20/12,89,24,W,3,DFUS,J,15,30,
RGH1U1,6/20/12,90,24,W,2,EBIS,L,23,42,
RGH1U1,6/20/12,91,27,W,3,EBIS,L,10,17,
RGH1U1,6/20/12,92,27,W,2,EBIS,L,10,18,
RGH1U1,6/20/12,93,27,W,3,EBIS,L,24,48,
RGH1U1,6/20/12,94,27,W,3,EBIS,L,23,23,no tail
RGH1U1,6/20/12,95,27,W,2,EBIS,L,18,31,
RGH1U1,6/20/12,96,27,W,1,EBIS,L,17,27,
RGH1U1,6/20/12,97,27,W,1,EBIS,L,22,41,
RGH1U1,6/20/12,98,25,W,3,EBIS,L,17,33,
RGH1U1,6/20/12,99,27,W,1,EBIS,L,18,32,
RGH1U1,6/20/12,100,24,W,1,DFUS,J,16,33,
RGH1U1,6/20/12,101,27,W,1,EBIS,L,17,30,
RGH1U1,6/20/12,102,21,W,4,DFUS,J,16,30,
RGH1U1,6/20/12,103,24,W,2,DFUS,J,20,37,
RGH1U1,6/20/12,104,27,W,1,EBIS,L,19,35,
RGH1U1,6/20/12,105,27,W,2,EBIS,L,22,44,
RGH1U1,6/20/12,106,24,W,3,DMON,J,22,43,left hind leg is a nub
RGH1U1,6/20/12,107,24,W,1,DFUS,J,15,29,
RGH1U1,6/20/12,108,27,W,3,EBIS,L,16,30,
RGH1U1,6/20/12,109,24,W,3,EBIS,L,16,29,
RGH1U1,6/20/12,110,23,W,2,DMON,J,15,34,
RGH1U1,6/20/12,111,27,W,2,EBIS,L,18,35,
RGH1U1,6/20/12,112,27,W,1,EBIS,L,19,36,
RGH1U1,6/20/12,113,24,W,1,DMON,A,34,71,
RGH1U1,6/20/12,114,24,W,1,DFUS,J,14,30,
RGH1U1,6/20/12,115,27,W,3,EBIS,L,17,37,
RGH1U1,6/20/12,116,23,W,2,DFUS,J,15,31,
RGH1U1,6/20/12,117,22,W,1,DFUS,J,15,30,
RGH1U1,6/20/12,118,24,W,4,DFUS,J,16,28,Lost on capture
RGH1U1,6/20/12,119,23,W,2,DFUS,J,17,32,
RGH1U1,6/20/12,120,24,W,2,EBIS,L,14,27,
RGH1U1,6/20/12,121,27,W,1,EBIS,L,18,35,
RGH1U1,6/20/12,122,24,W,2,DFUS,J,18,34,
RGH1U1,6/20/12,123,27,W,2,EBIS,L,17,35,
RGH1U1,6/20/12,124,24,W,2,DFUS,J,18,36,
RGH1U1,6/20/12,125,21,W,3,EBIS,L,17,28,
RGH1U1,6/20/12,126,27,W,1,DFUS,J,18,39,
RGH1U1,6/20/12,127,27,W,2,EBIS,L,19,37,
RGH1U1,6/20/12,128,23,W,2,EBIS,L,16,32,
RGH1U1,6/20/12,129,27,W,3,EBIS,L,14,22,
RGH1U1,6/20/12,130,24,W,3,DFUS,J,29,58,
RGH1U1,6/20/12,131,23,W,2,DFUS,J,17,36,
RGH1U1,6/20/12,132,27,W,3,EBIS,L,21,39,
RGH1U1,6/20/12,133,27,W,3,EBIS,L,15,30,
RGH1U1,6/20/12,134,27,W,2,EBIS,L,21,43,
RGH1U1,6/20/12,135,27,W,1,EBIS,L,13,23,
RGH1U1,6/20/12,136,27,W,3,EBIS,L,9,19,
RGH1U1,6/20/12,137,27,W,3,EBIS,L,17,32,
RGH1U1,6/20/12,138,27,W,3,EBIS,L,15,34,
RGH1U1,6/20/12,139,27,W,1,EBIS,L,19,33,
PR_xxxx,6/21/12,1,10,W,1,DFUS,A,44,67,
PR_xxxx,6/21/12,2,13,W,1,EBIS,L,17,30,
PR_xxxx,6/21/12,3,13,W,1,DMON,A,41,83,
PR_xxxx,6/21/12,4,14,W,1,DFUS,A,45,81,
PR_xxxx,6/21/12,5,13,W,1,EBIS,L,18,36,
PR_xxxx,6/21/12,6,13,W,1,DFUS,A,44,85,
PR_xxxx,6/21/12,7,13,W,1,EBIS,L,23,44,
PR_xxxx,6/21/12,8,9,W,1,DFUS,A,44,97,
PR_xxxx,6/21/12,9,13,W,1,EBIS,L,20,42,
PR_xxxx,6/21/12,10,13,W,1,EBIS,L,28,59,
PR_xxxx,6/21/12,11,14,W,1,EBIS,L,19,38,
PR_xxxx,6/21/12,12,11,W,1,DFUS,J,17,32,
PR_xxxx,6/21/12,13,8,W,1,DFUS,A,65,139,
PR_xxxx,6/21/12,14,13,W,1,GPOR,L,40,73,
PR_xxxx,6/21/12,15,1,W,1,DFUS,L,13,25,
PR_xxxx,6/21/12,16,3,W,1,EBIS,L,17,28,
PR_xxxx,6/21/12,17,3,W,1,EBIS,L,18,36,
PR_xxxx,6/21/12,18,3,W,1,EBIS,L,33,52,
PR_xxxx,6/21/12,19,2,W,1,EBIS,L,23,48,
PR_xxxx,6/21/12,20,2,W,1,DFUS,J,16,29,
PR_xxxx,6/21/12,21,3,W,1,DMON,A,54,112,
PR_xxxx,6/21/12,22,6,W,1,DFUS,A,62,125,
PR_xxxx,6/21/12,23,6,W,1,DFUS,J,29,61,
PR_xxxx,6/21/12,24,7,W,1,DFUS,A,46,90,Juvenile or adult?
PR_xxxx,6/21/12,25,0,W,1,EBIS,J,23,41,
PR_xxxx,6/21/12,26,3,W,1,EBIS,L,10,22,
PR_xxxx,6/21/12,27,0,W,1,DMON,J,26,59,
